filename,source_scene,bounds,crs,center_lat,center_lon,date_time
Hard_Negative_S2A_MSIL2A_20241204T145731_R039_T20PMC_20241204T175749_15.67_-63.62_image_l2a.tif,S2A_MSIL2A_20241204T145731_R039_T20PMC_20241204T175749,"BoundingBox(left=430935.0, bottom=1730215.0, right=436025.0, top=1735305.0)",32620,15.672073541818344,-63.62072115304595,20241204T145731
Hard_Negative_S2A_MSIL2A_20230703T193911_R042_T09UWB_20241012T022053_55.09_-128.21_image_l2a.tif,S2A_MSIL2A_20230703T193911_R042_T09UWB_20241012T022053,"BoundingBox(left=547715.0, bottom=6102105.0, right=552805.0, top=6107195.0)",32609,55.08604142805135,-128.21258394792196,20230703T193911
Hard_Negative_S2A_MSIL2A_20211201T073251_R049_T38RPQ_20211201T160404_26.16_46.25_image_l2a.tif,S2A_MSIL2A_20211201T073251_R049_T38RPQ_20211201T160404,"BoundingBox(left=622345.0, bottom=2891675.0, right=627435.0, top=2896765.0)",32638,26.16195234092678,46.249593240900424,20211201T073251
Hard_Negative_S2B_MSIL2A_20230821T073619_R092_T36LWN_20241024T093213_-11.76_33.89_image_l2a.tif,S2B_MSIL2A_20230821T073619_R092_T36LWN_20241024T093213,"BoundingBox(left=594195.0, bottom=8697455.0, right=599285.0, top=8702545.0)",32736,-11.75848087561204,33.88785831044136,20230821T073619
Hard_Negative_S2A_MSIL2A_20230906T004711_R102_T54LYH_20241024T033811_-15.52_143.22_image_l2a.tif,S2A_MSIL2A_20230906T004711_R102_T54LYH_20241024T033811,"BoundingBox(left=735645.0, bottom=8280575.0, right=740735.0, top=8285665.0)",32754,-15.518218490264292,143.220529284992,20230906T004711
Hard_Negative_S2B_MSIL2A_20190509T082609_R021_T38VML_20201006T120549_59.05_44.70_image_l2a.tif,S2B_MSIL2A_20190509T082609_R021_T38VML_20201006T120549,"BoundingBox(left=480205.0, bottom=6543425.0, right=485295.0, top=6548515.0)",32638,59.05279089191366,44.69926037416536,20190509T082609
Hard_Negative_S2B_MSIL2A_20211217T070309_R063_T39QXB_20211217T191036_19.76_52.42_image_l2a.tif,S2B_MSIL2A_20211217T070309_R063_T39QXB_20211217T191036,"BoundingBox(left=645905.0, bottom=2182545.0, right=650995.0, top=2187635.0)",32639,19.755897804199787,52.41686502903863,20211217T070309
Hard_Negative_S2B_MSIL2A_20220822T093549_R036_T32QQM_20220823T072439_23.49_11.69_image_l2a.tif,S2B_MSIL2A_20220822T093549_R036_T32QQM_20220823T072439,"BoundingBox(left=772435.0, bottom=2598075.0, right=777525.0, top=2603165.0)",32632,23.492517939106754,11.692408687001477,20220822T093549
Hard_Negative_S2A_MSIL2A_20230316T173051_R055_T15WXM_20240829T082314_64.26_-90.04_image_l2a.tif,S2A_MSIL2A_20230316T173051_R055_T15WXM_20240829T082314,"BoundingBox(left=641025.0, bottom=7126555.0, right=646115.0, top=7131645.0)",32615,64.25790445507903,-90.03653500047275,20230316T173051
Hard_Negative_S2A_MSIL2A_20220414T070621_R106_T39QVA_20220414T225729_18.58_50.16_image_l2a.tif,S2A_MSIL2A_20220414T070621_R106_T39QVA_20220414T225729,"BoundingBox(left=408735.0, bottom=2052415.0, right=413825.0, top=2057505.0)",32639,18.5835785088998,50.159144333986404,20220414T070621
Hard_Negative_S2A_MSIL2A_20220815T103641_R008_T30RYN_20240711T145601_24.35_-0.76_image_l2a.tif,S2A_MSIL2A_20220815T103641_R008_T30RYN_20240711T145601,"BoundingBox(left=724995.0, bottom=2692775.0, right=730085.0, top=2697865.0)",32630,24.354563412860056,-0.7570659436367331,20220815T103641
Hard_Negative_S2B_MSIL2A_20220708T084609_R107_T35QKA_20220708T203422_18.52_25.07_image_l2a.tif,S2B_MSIL2A_20220708T084609_R107_T35QKA_20220708T203422,"BoundingBox(left=293925.0, bottom=2046275.0, right=299015.0, top=2051365.0)",32635,18.52012621985366,25.071970831701353,20220708T084609
Hard_Negative_S2A_MSIL2A_20180902T141041_R110_T21LWL_20201011T073419_-8.96_-56.30_image_l2a.tif,S2A_MSIL2A_20180902T141041_R110_T21LWL_20201011T073419,"BoundingBox(left=574115.0, bottom=9006615.0, right=579205.0, top=9011705.0)",32721,-8.963051374434187,-56.30263120026759,20180902T141041
Hard_Negative_S2A_MSIL2A_20211231T105441_R051_T30RVR_20230127T141133_27.84_-3.54_image_l2a.tif,S2A_MSIL2A_20211231T105441_R051_T30RVR_20230127T141133,"BoundingBox(left=444155.0, bottom=3077035.0, right=449245.0, top=3082125.0)",32630,27.83985196536001,-3.5412962275547866,20211231T105441
Hard_Negative_S2A_MSIL2A_20220102T095411_R079_T32RQQ_20220103T060828_26.97_11.56_image_l2a.tif,S2A_MSIL2A_20220102T095411_R079_T32RQQ_20220103T060828,"BoundingBox(left=751175.0, bottom=2982915.0, right=756265.0, top=2988005.0)",32632,26.96801100567516,11.556049242052179,20220102T095411
Hard_Negative_S2A_MSIL2A_20230219T045841_R119_T45SUR_20240821T002345_32.00_85.42_image_l2a.tif,S2A_MSIL2A_20230219T045841_R119_T45SUR_20240821T002345,"BoundingBox(left=347735.0, bottom=3539435.0, right=352825.0, top=3544525.0)",32645,32.00402618512983,85.41492563246717,20230219T045841
Hard_Negative_S2A_MSIL2A_20180313T053711_R062_T42MYU_20201013T082036_-6.26_71.32_image_l2a.tif,S2A_MSIL2A_20180313T053711_R062_T42MYU_20201013T082036,"BoundingBox(left=753755.0, bottom=9305015.0, right=758845.0, top=9310105.0)",32742,-6.259359572031261,71.31640517747604,20180313T053711
Hard_Negative_S2B_MSIL2A_20210203T020909_R103_T51RYH_20210203T123414_24.81_125.28_image_l2a.tif,S2B_MSIL2A_20210203T020909_R103_T51RYH_20210203T123414,"BoundingBox(left=728295.0, bottom=2743285.0, right=733385.0, top=2748375.0)",32651,24.809902129340927,125.28369790528745,20210203T020909
Hard_Negative_S2A_MSIL2A_20211213T081331_R078_T35LMG_20211213T230555_-12.44_26.29_image_l2a.tif,S2A_MSIL2A_20211213T081331_R078_T35LMG_20211213T230555,"BoundingBox(left=420055.0, bottom=8622715.0, right=425145.0, top=8627805.0)",32735,-12.434823470812798,26.28784194340991,20211213T081331
Hard_Negative_S2A_MSIL2A_20220604T081611_R121_T35MNS_20220604T233616_-3.66_27.24_image_l2a.tif,S2A_MSIL2A_20220604T081611_R121_T35MNS_20220604T233616,"BoundingBox(left=523855.0, bottom=9592815.0, right=528945.0, top=9597905.0)",32735,-3.6608231302966114,27.23773189153667,20220604T081611
Hard_Negative_S2A_MSIL2A_20180126T015651_R117_T50HPG_20201014T084924_-34.56_118.45_image_l2a.tif,S2A_MSIL2A_20180126T015651_R117_T50HPG_20201014T084924,"BoundingBox(left=630795.0, bottom=6172795.0, right=635885.0, top=6177885.0)",32750,-34.555038595534285,118.45336155644016,20180126T015651
Hard_Negative_S2A_MSIL2A_20180104T074311_R092_T38RMS_20201014T031232_27.97_44.43_image_l2a.tif,S2A_MSIL2A_20180104T074311_R092_T38RMS_20201014T031232,"BoundingBox(left=440915.0, bottom=3091275.0, right=446005.0, top=3096365.0)",32638,27.96826301597707,44.42512202311838,20180104T074311
Hard_Negative_S2A_MSIL2A_20220603T070631_R106_T39QUC_20220604T010150_20.58_49.66_image_l2a.tif,S2A_MSIL2A_20220603T070631_R106_T39QUC_20220604T010150,"BoundingBox(left=357425.0, bottom=2274185.0, right=362515.0, top=2279275.0)",32639,20.584394045100076,49.656409379652445,20220603T070631
Hard_Negative_S2A_MSIL2A_20181013T164231_R126_T15RXQ_20201009T110545_31.56_-91.30_image_l2a.tif,S2A_MSIL2A_20181013T164231_R126_T15RXQ_20201009T110545,"BoundingBox(left=658385.0, bottom=3490025.0, right=663475.0, top=3495115.0)",32615,31.55690172718562,-91.30444196139072,20181013T164231
Hard_Negative_S2A_MSIL2A_20230715T033541_R061_T47NLE_20230715T093323_4.15_97.98_image_l2a.tif,S2A_MSIL2A_20230715T033541_R061_T47NLE_20230715T093323,"BoundingBox(left=383795.0, bottom=455915.0, right=388885.0, top=461005.0)",32647,4.147094000405966,97.97595639411182,20230715T033541
Hard_Negative_S2A_MSIL2A_20230111T161631_R140_T17SLR_20230112T130526_31.67_-82.61_image_l2a.tif,S2A_MSIL2A_20230111T161631_R140_T17SLR_20230112T130526,"BoundingBox(left=345035.0, bottom=3502755.0, right=350125.0, top=3507845.0)",32617,31.672868571364212,-82.60790090984054,20230111T161631
